conv_id,utt_id,speaker,text,tokens,lang_tags,etymon_tags,token_role_tags,utt_matrix_lang,cs_type
conv001,1,A,"Today mekɔ school","Today me kɔ school","en tw tw en","en tw tw en","cont func cont cont","tw","intra"
conv002,1,B,"Okay but fa book no","Okay but fa book no","en en tw en en","en en tw en en","cont func cont cont func","tw","intra"
conv003,1,A,"Mepɛ sɛ me resti small","Me pɛ sɛ me rest i small","tw tw tw tw en tw en","tw tw tw tw en tw en","func cont func func cont affix cont","tw","intra"
conv004,1,B,"Wɔamoveo fast","wɔ a move o fast","tw tw en tw en","tw tw en tw en","func affix cont affix cont","tw","intra"
conv005,1,A,"Sɛ wo suggestɪ-ɪ wɔ cabinet na ɔmo rejectɪ-ɪ a san suggestɪ bio ɛ","Sɛ wo suggest ɪ ɪ wɔ cabinet na ɔmo reject ɪ ɪ a san suggest ɪ bio ɛ","tw tw en tw tw tw en tw tw en tw tw tw tw en tw tw tw","tw tw en tw tw tw en tw tw en tw tw tw tw en tw tw tw","func func cont affix affix func cont func func cont affix affix func cont cont affix cont func","tw","intra"
conv006,1,A,"ɛno ɛyɛ bacteria na ɛcauso saa","ɛno ɛyɛ bacteria na ɛ caus o saa","tw tw en tw tw en tw tw","tw tw en tw tw en tw tw","func cont cont func func cont affix cont","tw","intra"
conv007,1,A,"Problems no deɛ ɛbɛba nanso yɛbɛsolvi","Problems no deɛ ɛ bɛ ba nanso yɛ bɛ solv i","en tw tw tw tw tw tw tw tw en tw","en tw tw tw tw tw tw tw tw en tw","cont func func func affix cont func func affix cont affix","tw","intra"
conv008,1,A,"ɛnɛ economy yi a astabilizɪ yi nyinaa yɛ NPP adwuma","ɛnɛ economy yi a a stabiliz ɪ yi nyinaa yɛ NPP adwuma","tw en tw tw tw en tw tw tw tw oth tw","tw en tw tw tw en tw tw tw tw oth tw","cont cont func func affix cont affix func func cont cont cont","tw","intra"
conv009,1,A,"The idea ne sɛ yɛ-bɛ-moveo all the delegates no a-kɔ-gu one place","The idea ne sɛ yɛ bɛ move o all the delegates no a kɔ gu one place","en en tw tw tw tw en tw en en en tw tw tw tw en en","en en tw tw tw tw en tw en en en tw tw tw tw en en","func cont cont func func affix cont affix func func cont func affix cont cont func cont","tw","intra"
conv010,1,A,"KN inviteɪ-ɪ won","KN invite ɪ ɪ won","oth en tw tw tw","oth en tw tw tw","cont cont affix affix func","tw","intra"
conv011,1,A,"ɛ dependi","ɛ depend i","tw en tw","tw en tw","func cont affix","tw","intra"
conv012,1,A,"Phoebe wɔ hɔ yi procrastinati","Phoebe wɔ hɔ yi procrastinate i","oth tw tw tw en tw","oth tw tw tw en tw","cont cont cont func cont affix","tw","intra"
conv013,1,A,"w-a-moveo forward","w a move o forward","tw tw en tw en","tw tw en tw en","func affix cont affix cont","tw","intra"
conv014,1,A,"w-a-wini soul baako abɛka ho","w a win i soul baako abɛka ho","tw tw en tw en tw tw tw","tw tw en tw en tw tw tw","func affix cont affix cont func cont func","tw","intra"
conv015,1,A,"enti na yɛ-ɛ-piloto school feeding programme","enti na yɛ ɛ pilot o school feeding programme","tw tw tw tw en tw en en en","tw tw tw tw en tw en en en","func func func affix cont affix cont cont cont","tw","intra"
conv016,1,A,"Problems no deɛ ɛ-bɛ-ba na yɛ bɛ-solvo na yɛ-ɛ-solvo","Problems no deɛ ɛ bɛ ba na yɛ bɛ solv o na yɛ ɛ solv o","en tw tw tw tw tw tw tw tw en tw tw tw tw en tw","en tw tw tw tw tw tw tw tw en tw tw tw tw en tw","cont func func func affix cont func func affix cont affix func func affix cont affix","tw","intra"
conv017,1,A,"Na afie yɛ bɛ-kɔ a-kɔ-checkɪ sɛ ɛ-yɛ clean anaa","Na afie yɛ bɛ kɔ a kɔ check ɪ sɛ ɛ yɛ clean anaa","tw tw tw tw tw tw tw en tw tw tw tw en tw","tw tw tw tw tw tw tw en tw tw tw tw en tw","func cont func affix cont affix cont cont affix func func cont cont func","tw","intra"
conv018,1,A,"Mee me independent investigation kyɛrɛ sɛ yɛ be-nya a new crop of people a ɔmo n-voti da","Mee me independent investigation kyɛrɛ sɛ yɛ be nya a new crop of people a ɔmo n vote i da","tw tw en en tw tw tw tw tw en en en en en tw tw tw en tw tw","tw tw en en tw tw tw tw tw en en en en en tw tw tw en tw tw","func func cont cont cont func func affix cont func cont cont func cont func func affix cont affix cont","tw","intra"
conv019,1,A,"ɛbra ɔmo o-readi tribute no na wo hu signs sɛ ne werɛ aho","ɛbra ɔmo o read i tribute no na wo hu signs sɛ ne werɛ aho","tw tw tw en tw en tw tw tw tw en tw tw tw tw","tw tw tw en tw en tw tw tw tw en tw tw tw tw","func func affix cont affix cont func func func cont cont func func cont cont","tw","intra"
conv020,1,A,"Because ɔyɛ ɔbaa a w-a-tumi a-riseɪ akɔ soro yie","Because ɔyɛ ɔbaa a w a tumi a rise ɪ akɔ soro yie","en tw tw tw tw tw tw tw en tw tw tw tw","en tw tw tw tw tw tw tw en tw tw tw tw","func cont cont func func affix cont affix cont affix cont cont cont","tw","intra"
conv021,1,A,"Me sende-e no text","Me send e no text","tw en tw tw en","tw en tw tw en","func cont affix func cont","tw","intra"
conv022,1,A,"Afrika na sɛ wo yɛ kɛse a yɛ-se it’s a sign sɛ wo livo good","Afrika na sɛ wo yɛ kɛse a yɛ se it’s a sign sɛ wo live o good","en tw tw tw tw tw tw tw tw en en en tw tw en tw en","en tw tw tw tw tw tw tw tw en en en tw tw en tw en","cont func func func cont cont func func cont cont func cont func func cont affix cont","tw","intra"
conv023,1,A,"Ŋkɔdaa a ɔmo a-turne eighteen no na yɛ-ɛ-disenfranchise ɔmo","Ŋkɔdaa a ɔmo a turn e eighteen no na yɛ ɛ disenfranchise ɔmo","tw tw tw tw en tw en tw tw tw tw en tw","tw tw tw tw en tw en tw tw tw tw en tw","cont func func affix cont affix cont func func func affix cont func","tw","intra"
conv024,1,A,"Some of us na yɛ crusadi-i ma-a aban","Some of us na yɛ crusade i ma a aban","en en en tw tw en tw tw tw tw","en en en tw tw en tw tw tw tw","cont func func func func cont affix cont affix cont","tw","intra"
